org_name,org_itemid
POSITIVE FOR CYTOMEGALOVIRUS,80308
NEGATIVE,90856
PREVOTELLA SPECIES,80244
ALTERNARIA SP.,90443
FUSARIUM SPECIES,80116
NEISSERIA SPECIES,80042
MIXED BACTERIAL FLORA,90785
"NEISSERIA SPECIES, NOT GONORRHOEAE",80292
ASPERGILLUS NIGER,80062
GIARDIA LAMBLIA SEEN,90644
"CANDIDA ALBICANS, PRESUMPTIVE IDENTIFICATION",80254
YERSINIA ENTEROCOLITICA,90276
"ASPERGILLUS SP. NOT FUMIGATUS, FLAVUS OR NIGER",80239
CANDIDA KRUSEI,80101
PRESUMPTIVE VEILLONELLA SPECIES,80232
CANDIDA SPECIES,80059
POSITIVE FOR CRYPTOCOCCAL ANTIGEN,90819
VARICELLA-ZOSTER VIRUS,80176
POSITIVE FOR ADENOVIRUS,90724
RHINOVIRUS,80206
ESCHERICHIA COLI O157:H7,90536
CYTOMEGALOVIRUS ,80143
S. AUREUS POSITIVE; MRSA POSITIVE,90840
MOLD,80163
CANDIDA PARAPSILOSIS,80099
BACILLUS SPECIES,80082
POSITIVE FOR HERPES SIMPLEX TYPE 2 (HSV2),80311
PRESUMPTIVE PROPIONIBACTERIUM ACNES,80234
CLOSTRIDIUM SEPTICUM,80129
PHOMA SPECIES,90660
ANAEROBIC GRAM POSITIVE COCCUS(I),80078
CANDIDA DUBLINIENSIS,80270
POSITIVE FOR HERPES SIMPLEX (HSV),90727
LEGIONELLA PNEUMOPHILA ,80202
BACTEROIDES FRAGILIS GROUP,80112
PRESUMPTIVE POSITIVE FOR LEGIONELLA SEROGROUP 1 ANTIGEN,90818
AFB GROWN IN CULTURE; ADDITIONAL INFORMATION TO FOLLOW,80220
SCOPULARIOPSIS SP.,90380
DEMATIACEOUS MOLD,80278
NEISSERIA MENINGITIDIS,80041
PARAINFLUENZA VIRUS TYPE 2,90526
PARAINFLUENZA VIRUS TYPE 3,80181
GRAM POSITIVE BACTERIA,80081
MYCOBACTERIUM TUBERCULOSIS COMPLEX,80159
ACREMONIUM SPECIES,80157
ASPERGILLUS FUMIGATUS COMPLEX,90834
CLOSTRIDIUM SPECIES NOT C. PERFRINGENS OR C. SEPTICUM,80238
MYCELIA STERILIA,80130
MICROSPORIDIUM SPECIES SEEN,80258
NEISSERIA GONORRHOEAE,80040
IXODES SPECIES,90753
TICK CONSISTENT WITH IXODES SPECIES,90620
"LEGIONELLA PNEUMOPHILA, GROUP 1",90431
POSITIVE FOR PARAINFLUENZA TYPE 2,90722
NOCARDIA OTITIDISCAVIARUM (CAVIAE),90557
STAPHYLOCOCCUS SPECIES,80138
ASPERGILLUS TERREUS,90494
PROBABLE ENTEROCOCCUS,80223
CANDIDA TROPICALIS,80106
MICROCOCCUS/STOMATOCOCCUS SPECIES,80306
CHAETOMIUM SPECIES,80200
CLADOSPORIUM SPECIES,80126
INFLUENZA A VIRUS,80178
PINWORM EGG(S) SEEN,90645
ENTEROVIRUS,90574
NOCARDIA NOVA,90566
NOCARDIA ASTEROIDES COMPLEX ,80187
RHIZOPUS SPECIES,80105
STACHYBOTRYS SPP.,80211
ANAEROBIC GRAM NEGATIVE ROD(S),80036
ASPERGILLUS VERSICOLOR GROUP ,80148
PITHOMYCES SP.,80268
PARAINFLUENZA VIRUS TYPE 1,80180
POSITIVE FOR MICROSPORIDIA SPECIES,90634
MYCOBACTERIUM AVIUM COMPLEX,80158
CRYPTOCOCCUS NEOFORMANS,80065
WORM,90609
MYCOBACTERIUM MARINUM,90514
MUCOR SP.,80110
NOCARDIA FARCINICA,90769
GRAM NEGATIVE ROD #4,80073
TRICHOMONAS VAGINALIS SEEN,90646
ROTHIA DENTOCARIOSA,90378
ASPERGILLUS NIDULANS,80215
STAPHYLOCOCCUS SACCHAROLYTICUS,90486
CURVULARIA SP.,80174
INFLUENZA B VIRUS,80179
YERSINIA SP.,90509
RESEMBLING MICROCOCCUS/STOMATOCOCCUS SPECIES,80242
CIMEX SPECIES (BEDBUG),90891
MYCOBACTERIUM MUCOGENICUM,90713
PROTEUS SPECIES,80084
GEOTRICHIUM SPECIES,90340
EPIDERMOPHYTON FLOCCOSUM,90444
CANDIDA LUSITANIAE,80137
POSITIVE FOR PARAINFLUENZA VIRUS,90726
FUSOBACTERIUM NUCLEATUM,80128
VIBRIO PARAHAEMOLYTICUS,90297
ACTINOBACILLUS ACTINOMYCETEMCOMITANS,90383
PAECILOMYCES SPECIES,80149
ROTHIA MUCILAGINOSA,90741
TAENIA SP.,90420
MICROBACTERIUM SPECIES,90678
MALASSEZIA SPECIES,90550
TRICHODERMA SP.,80150
NOCARDIA SPECIES,80068
TICK NOT CONSISTENT WITH IXODES SPECIES,90621
PRESUMPTIVE CLOSTRIDIUM PERFRINGENS,80236
SCEDOSPORIUM (APIOSPERMUM) BOYDII COMPLEX,80188
VIBRIO CHOLERAE,90295
TICK,90768
EIKENELLA CORRODENS,80035
GIARDIA LAMBLIA,80133
ACTINOMYCES SP.,90508
SYTALIDIUM SPECIES,90710
NEISSERIA MUCOSA,90459
NIGROSPORA SPECIES,90672
ASPERGILLUS FLAVUS,80114
SALMONELLA SAINTPAUL,90434
CHLAMYDIA TRACHOMATIS,80147
CLOSTRIDIUM PERFRINGENS,80038
PORPHYROMONAS SPECIES,80212
BRUCELLA SPECIES,90301
CANDIDA GUILLIERMONDII,80100
ACINETOBACTER RADIORESISTENS,90813
ANAEROBIC GRAM POSITIVE ROD(S),80079
ACTINOMYCES NAESLUNDII,90386
KINGELLA SPECIES,90461
ANAEROBIC GRAM NEGATIVE ROD #2,80074
ACTINOTIGNUM SANGUINIS,90839
EXOPHIALA (WANGIELLA) DERMATITIDIS,90598
BACTEROIDES SPECIES,90313
LEPTOTRICHIA SPECIES,90877
ACTINOMYCES ODONTOLYTICUS,80136
PORPHYROMONAS SPECIES,80243
MORAXELLA SPECIES,80031
PARACOCCUS YEEI,90835
CARDIOBACTERIUM HOMINIS,90327
MORAXELLA NONLIQUIFACIENS ,90450
PRESUMPTIVE CLOSTRIDIUM SEPTICUM,80237
LEPTOTRICHIA TREVISANII,80307
CLOSTRIDIUM RAMOSUM,90377
CLOSTRIDIUM TERTIUM,90374
ACTINOMYCES TURICENSIS,90697
CUTIBACTERIUM (PROPIONIBACTERIUM) ACNES,90880
LACTOCOCCUS SPECIES,90740
LACTOBACILLUS CASEI/PARACASEI/ZEAE,90864
CAMPYLOBACTER SPECIES,80107
BURKHOLDERIA SPECIES,80208
CUTIBACTERIUM ACNES,90846
RHODATORULA MUCILAGINOSA,90859
BREVIBACTERIUM CASEI,90794
LOMENTOSPORA PROLIFICANS (FORMERLY SCEDOSPORIUM PROLIFICANS),90823
HAEMOPHILUS SPECIES NOT INFLUENZAE,80256
GEMELLA HAEMOLYSANS,90773
FUSOBACTERIUM SPECIES,80245
GRAM VARIABLE RODS,80037
DOLOSIGRANULUM PIGRUM,90765
CAMPYLOBACTER JEJUNI,80185
GRANULICATELLA ADIACENS,90817
PASTEURELLA MULTOCIDA,80034
ROSEOMONAS GILARDII,90552
"HAEMOPHILUS INFLUENZAE, BETA-LACTAMASE POSITIVE",80191
USTILAGO SPECIES,90775
RHODOTORULA GLUTINIS,90492
LACTOBACILLUS FERMENTUM,90897
DIALISTER MICRAEROPHILUS,90888
GORDONIA SPECIES,80286
ATOPOBIUM RIMAE,90875
PREVOTELLA ORALIS,90590
HAEMOPHILUS PARAHAEMOLYTICUS,90363
TRICHOSPORON SPECIES,90502
DESULFOVIBRIO DESULFURICANS,90729
HAEMOPHILUS INFLUENZAE,80198
ALLOIOCOCCUS OTITIS,90798
LEPTOTRICHIA HOFSTADII,90764
KOCURIA ROSEA,90874
BREVUNDIMONAS VESICULARIS,90820
BETA STREPTOCOCCUS,80048
BACTEROIDES FRAGILIS,80121
ENTEROCOCCUS DURANS,90549
MYCOBACTERIUM CHELONAE,90330
PREVOTELLA (BACTEROIDES) SPECIES,90528
GLOBICATELLA SPECIES,90739
WAUTERSIELLA FALSENII,90896
CUPRIAVIDUS METALLIDURANS,90716
SALMONELLA SPECIES,90282
GRAM NEGATIVE DIPLOCOCCI,80057
BACTEROIDES DOREI/VULGATUS,90832
LEUCONOSTOC SPECIES,80170
CANDIDA AURIS,90827
HAEMOPHILUS SP,80044
BIFIDOBACTERIUM LONGUM,90852
SHEWANELLA ALGAE,90806
MICROCOCCUS LUTEUS,90497
VEILLONELLA SPECIES,80173
BACILLUS CIRCULANS GROUP,90850
MORAXELLA OSLOENSIS,80153
PASTEURELLA SPECIES,90754
CLOSTRIDIUM SPECIES,80039
ENTEROCOCCUS HIRAE,90774
MYCOBACTERIUM BOVIS,90387
MYCOBACTERIUM SPECIES,90305
MYCOBACTERIUM SZULGAI,90489
STREPTOMYCES SPECIES,80096
MYCOBACTERIUM KANSASII,90333
MYCOBACTERIUM FORTUITUM,80095
MYCOBACTERIUM AVIUM,90476
MYCOBACTERIUM ABSCESSUS,90641
MYCOBACTERIUM GORDONAE,80093
MYCOBACTERIUM CHIMAERA INTRACELLULARE GROUP,90821
MYCOBACTERIUM XENOPI,90498
TSUKAMURELLA SPECIES,90592
MYCOBACTERIUM TERRAE,90349
MYCOBACTERIUM TRIPLEX,90866
MYCOBACTERIUM TUBERCULOSIS,80069
NOCARDIA BRASILIENSIS,90564
MYCOBACTERIUM MARSEILLENSE,90862
MYCOBACTERIUM SCROFULACEUM,90353
MYCOBACTERIUM CELATUM,90560
GORDONIA SPUTI,90791
MYCOBATERIUM HAEMOPHILUM,90761
MYCOBACTERIUM ASIATICUM,90838
CAMPYLOBACTER LARI,90596
FUSOBACTERIUM SPECIES,80125
ACTINOMYCES ISRAELII,90398
CUTIBACTERIUM AVIDUM,90847
CUTIBACTERIUM SPECIES,90889
EUBACTERIUM LIMOSUM,90853
MYCOPLASMA HOMINIS,80299
ANAEROBIC GRAM NEGATIVE COCCI,90302
BACTEROIDES UREOLYTICUS GROUP,80205
PREVOTELLA MELANINOGENICA,90346
PEPTOSTREPTOCOCCUS SP.,90501
PRESUMPTIVE FUSOBACTERIUM MORTIFERUM/VARIUM GROUP,80240
ORGANISM,80263
MYCOPLASMA SPECIES,90322
ACIDFAST BACILLI,80086
BLASTOCYSTIS HOMINIS,80140
ENDOLIMAX NANA,80134
ENTAMOEBA HARTMANNI,80169
ENTAMOEBA COLI,80132
DIENTAMOEBA FRAGILIS,90425
FEW BLASTOCYSTIS HOMINIS,80249
MODERATE BLASTOCYSTIS HOMINIS,80250
ENTAMOEBA SP.,90408
STRONGYLOIDES STERCORALIS ,80161
MANY BLASTOCYSTIS HOMINIS,80251
ENTAMOEBA HISTOLYTICA/DISPAR,80217
IODAMOEBA BUTSCHLII,90636
STRONGYLOIDES,90421
RARE BLASTOCYSTIS HOMINIS,90638
CHILOMASTIX MESNILI,90410
HYMENOLEPIS NANA,90533
HOOKWORM,90422
ENTEROBIUS VERMICULARIS,90447
GIARDIA CYSTS,90411
SALMONELLA KIAMBU,90689
SALMONELLA HADAR,80131
SALMONELLA THOMPSON,90427
SALMONELLA INFANTIS,90503
SALMONELLA MBANDAKA,90653
SALMONELLA SCHWARZENGRUND,90440
SALMONELLA BARRANQUILLA,90715
SALMONELLA AGONA,90406
SALMONELLA HAVANA,90751
SALMONELLA ORANIENBURG,90484
SALMONELLA BAREILLY,90658
SALMONELLA MONTEVIDEO,90405
SALMONELLA CORVALLIS,90680
SALMONELLA HEIDELBERG,90412
AGGREGATIBACTER SPECIES,90735
GRAM NEGATIVE ROD #3,80072
PASTEURELLA CANIS,90805
BETA STREPTOCOCCUS NOT GROUP A OR B,80224
SACCHAROMYCES CEREVISIAE,80102
CORYNEBACTERIUM GLUCURONOLYTICUM,90894
ZYGOSACCHAROMYCES FERMENTATI,90828
CAPNOCYTOPHAGA OCHRACEA,90379
ALPHA STREPTOCOCCI,80052
GARDNERELLA  VAGINALIS,90470
ANAEROBIC GRAM POSITIVE BACTERIA,90584
CANDIDA KEFYR,80285
AGGREGATIBACTER (HAEMOPHILUS) APHROPHILUS,90736
SPHINGOBACTERIUM MULTIVORUM,90537
RHINOCLADIELLA SP.,90825
EXOPHIALA SPECIES,90581
CUNNINGHAMELLA SP.,90439
EXOPHIALA JEANSELMEI COMPLEX,80124
ASPERGILLUS SPECIES,80063
NEOSCYTALIDIUM DIMIDIATUM,90762
GRAPHIUM EUMORPHUM,90772
FONSECAEA PEDROSOI,80282
SAPROCHAETE (FORMERLY GEOTRICHUM) CAPITATA,90841
CANDIDA KRUSEI / CANDIDA INCONSPICUA,80288
SYNCEPHALASTRUM SPECIES,80190
BEAUVERIA BASSIANA,90693
TRICHOPHYTON RUBRUM,90390
MICROSPORUM CANIS,90462
VERTICILLIUM SP.,90362
FUNGUS,80127
BASIDIOMYCETE,80291
COCCIDIOIDES IMMITIS/POSADASII,90811
CRYPTOCOCCUS LAURENTII,90339
PENICILLIUM FELLUTANUM,90879
CUNNINGHAMELLA BERTHOLLETIAE,90706
AUREOBASIDIUM PULLULANS,80117
CONIDIOBOLUS SPECIES,90714
PENICILLIUM MARNEFFEI,90585
STEMPHYLIUM SP.,90671
SCEDOSPORIUM APIOSPERMUM COMPLEX,90851
ARTHROGRAPHIS SPECIES,90814
BACTERIA,80080
MALASSEZIA FURFUR,80199
PROBABLE LACTOBACILLUS SPECIES,80226
OLIGELLA URETHRALIS,90543
LACTOBACILLUS RHAMNOSUS,90801
LISTERIA SPECIES,80209
SCOPULARIOPSIS BREVICAULIS,90650
2ND ISOLATE,80265
PROBABLE GARDNERELLA VAGINALIS,80227
LEUCONOSTOC MESENTEROIDES,90519
BETA STREP NOT GROUP A OR ANGINOSUS (MILLERI),90707
VIBRIO SPECIES,80033
ERYSIPELOTHRIX RHUSIOPATHIAE,90688
MALASSEZIA PACHYDERMATIS,90752
STREPTOCOCCUS PORCINUS/PSEUDOPORCINUS,90804
CHRYSEOBACTERIUM MENINGOSEPTICUM,80301
LACTOBACILLUS GASSERI,90717
HEMOPHILUS HEMOLYTICUS,90361
HAEMOPHILUS APHROPHILUS,90310
HAEMOPHILUS HAEMOLYTICUS,90873
PSEUDALLESCHERIA BOYDII ,80186
SALMONELLA PARATYPHI A,90368
BACILLUS CEREUS/THURINGIENSIS,90887
PAENIBACILLUS SPECIES,90893
ALACALIGENES SPECIES,90802
COMAMONAS TESTOSTERONI,90541
ESCHERICHIA FERGUSONII,80152
CORYNEBACTERIUM JEIKEIUM (C.D.C. GROUP JK),80141
KLEBSIELLA (RAOULTELLA) ORNITHINOLYTICA,90881
ESCHERICHIA HERMANNII,90453
CITROBACTER YOUNGAE,80197
SALMONELLA STANLEY,90507
KLEBSIELLA (RAOULTELLA) PLANTICOLA,90882
ESCHERICHIA VULNERIS,90403
EDWARDSIELLA TARDA,90281
YOKENELLA REGENSBURGEI,90868
STAPHYLOCOCCUS SCHLEIFERI,90500
VIBRIO ALGINOLYTICUS,90296
ASCARIS LUMBRICOIDES,80135
HERPES SIMPLEX VIRUS,90429
RHODOTORULA SPECIES,80061
TAENIA SAGINATA,90426
HUMICOLA SPECIES,90698
ARCANOBACTERIUM HAEMOLYTICUM,90392
DERMATOPHYTE,90512
MUCOR IRREGULARIS,90831
BREVUNDIMONAS DIMINUTA/VESICULARIS,90890
CYCLOSPORA SPECIES,90567
YERSINIA INTERMEDIA,90372
BACTEROIDIES THETAIOTAOMICRON,90639
TRICHOMONAS VAGINALIS,90513
LEGIONELLA SPECIES,90627
CANDIDA RUGOSA,90336
CAMPYLOBACTER UREOLYTICUS,90878
GLOBICATELLA SANGUINIS,90871
CANDIDA FAMATA,90795
CLOSTRIDIUM INNOCUUM,90407
CLOSTRIDIUM SAUDIENSE,90884
DESULFOVIBRIO LEGALLII,90854
ANAEROBIC BACTERIA,80123
SLACKIA EXIGUA,90766
STREPTOCOCCUS PORCINUS,90803
ACETOBACTER SP.,90885
PEPTONIPHILUS (PEPTOSTREPTOCOCCUS) SPECIES,90733
ROSEOMONAS MUCOSA,90655
NEISSERIA SUBFLAVA,90359
MYCOBACTERIUM MALMOENSE,90601
PHAEOACREMONIUM SPECIES,90719
MYCOBACTERIUM FLAVESCENS,90433
NOCARDIA ASTEROIDES,80067
MICROMONOSPORA SPECIES,90808
MYCOBACTERIUM LENTIFLAVUM,90845
MYCOBACTERIUM MAGERITENSE,90822
ACTINOMYCETE,80264
MYCOBACTERIUM ABSCESSUS GROUP,90789
CAMPYLOBACTER COLI,90532
CAMPYLOBACTER UPSALIENSIS,90522
DESULFOVIBRIO SP.,90860
CLOSTRIDIUM CLOSTRIDIIFORME,90352
FINEGOLDIA (PEPTOSTREPTOCOCCUS) SPECIES,90734
ANAEROBIC GRAM NEGATIVE ROD #1,90304
FUSOBACTERIUM NECROPHORUM,80142
DIPHYLLOBOTHRIUM SP.,90579
SALMONELLA MUENCHEN,90418
SALMONELLA KENTUCKY,90628
SALMONELLA ANATUM,90657
SALMONELLA POMONA,90675
SALMONELLA OSLO,90635
SALMONELLA MUENSTER,90404
